Crop,Soil_Type,Season,Region,N,P,K,pH,Rainfall,Temperature,Humidity,Yield_kg_per_acre,Productivity,output
Sugarcane,Red,Rabi,East,47,24,43,5.38,121,36.3,44.6,21.36,Low,0
Rice,Black,Rabi,South,170,86,100,7.19,271.5,22.7,54.2,26.89,Moderate,1
Wheat,Red,Kharif,East,46,62,17,6.14,84.6,33.8,41.5,18,Low,0
Rice,Clay,Zaid,East,196,130,175,7.17,283.8,21.1,82.9,36.05,High,1
Cotton,Sandy,Rabi,West,236,140,183,7.4,287.9,19.2,80.7,30.49,High,1
Rice,Red,Zaid,South,44,19,29,5.8,94.9,30.2,29.5,20.54,Low,0
Millets,Black,Rabi,East,261,151,297,7.89,309.2,20.1,87.2,44.23,High,1
Millets,Loamy,Kharif,West,166,104,223,7.14,402.5,27.2,73.2,38.43,High,1
Maize,Red,Zaid,West,66,61,47,5.31,176.4,36.9,41.5,26.48,Low,0
Millets,Sandy,Zaid,North,184,117,91,7.42,165.6,31.6,67.7,31.06,Moderate,1
Rice,Black,Kharif,North,284,169,185,7.28,295.6,22.4,68.9,41.31,High,1
Millets,Black,Kharif,South,176,102,155,6.61,296.3,26.6,65.5,39.68,High,1
Maize,Clay,Kharif,North,128,81,116,6.34,207.5,30.3,45.7,29.47,Moderate,1
Rice,Sandy,Zaid,South,156,83,99,7.06,273.6,29.6,67.9,33.48,Moderate,1
Sugarcane,Black,Kharif,North,72,55,33,5.8,93.7,33.4,39.8,21.49,Low,0
Maize,Clay,Kharif,West,79,39,37,5.25,167.7,34.6,49.7,19.16,Low,0
Wheat,Loamy,Zaid,North,284,117,151,7.45,294.3,19.6,81.4,40.47,High,1
Millets,Sandy,Kharif,Central,145,54,134,7.35,212,29.3,70.3,28.68,Moderate,1
Sugarcane,Clay,Zaid,West,90,25,53,5.3,168.1,34.8,44.9,25.5,Low,0
Maize,Loamy,Rabi,West,116,30,76,5.55,150.5,33.3,32.2,19.2,Low,0
Sugarcane,Sandy,Zaid,West,101,35,83,6.12,157.1,32.4,54.2,18.49,Low,0
Wheat,Black,Zaid,South,220,114,151,7.72,354.9,26.6,71.3,40.29,High,1
Cotton,Red,Zaid,East,164,107,107,5.91,191.7,27.2,44.9,23.7,Moderate,1
Wheat,Loamy,Rabi,South,67,55,31,5.65,186.7,31.7,37.6,26.45,Low,0
Rice,Clay,Zaid,North,159,85,138,6.39,259.2,27.6,72.3,23.9,Moderate,1
Sugarcane,Sandy,Rabi,North,180,113,189,6.71,394.2,19.5,67.5,35.93,High,1
Rice,Red,Rabi,West,204,108,192,8.02,260.6,27.7,76.5,37.48,High,1
Maize,Clay,Rabi,North,54,67,52,5.84,83.6,36.5,27.8,19.87,Low,0
Sugarcane,Loamy,Kharif,Central,73,40,89,5.21,148.6,34.8,26.2,17.05,Low,0
Millets,Black,Zaid,Central,66,44,69,5.18,108.6,34.8,34.7,21.37,Low,0
Wheat,Loamy,Rabi,East,252,167,290,7.84,365.9,27.1,89.2,31.87,High,1
Rice,Black,Rabi,South,44,30,27,5.69,197.1,30.8,31.5,23.46,Low,0
Maize,Loamy,Kharif,South,90,27,17,6.14,169.8,34.7,27.6,21.76,Low,0
Wheat,Sandy,Zaid,North,229,149,227,6.9,367.2,20.6,66.8,42.53,High,1
Millets,Clay,Zaid,West,90,59,17,5.52,127.6,35.3,49.8,22.97,Low,0
Wheat,Sandy,Rabi,North,92,90,138,5.94,165.6,27,68.6,26.48,Moderate,1
Millets,Red,Zaid,Central,46,42,82,6.27,194.8,36.2,48.7,15.62,Low,0
Cotton,Clay,Zaid,Central,60,59,88,6.23,77.8,30.7,38.5,23.86,Low,0
Sugarcane,Clay,Kharif,West,175,152,159,7.17,430.8,21,76.2,31.38,High,1
Cotton,Sandy,Kharif,West,186,99,163,7.16,233.5,22.8,56.4,23.12,Moderate,1
Maize,Sandy,Zaid,West,109,66,161,7.21,224.7,29.4,60.1,25.31,Moderate,1
Wheat,Black,Rabi,Central,69,39,16,5.13,195.4,35.7,39,16.01,Low,0
Sugarcane,Red,Zaid,West,168,143,280,7.87,290.7,23.6,66.9,42,High,1
Wheat,Clay,Kharif,East,109,43,46,5.62,195.4,30.4,53.9,19.86,Low,0
Millets,Loamy,Rabi,North,227,115,220,6.87,282.8,27.9,81.1,34.79,High,1
Millets,Red,Zaid,West,45,45,37,5.89,129.1,30.8,38.4,21.84,Low,0
Cotton,Loamy,Zaid,East,110,54,135,7.41,249.2,27.2,46.4,33.65,Moderate,1
Sugarcane,Sandy,Kharif,North,162,110,110,6.7,317.1,28.1,48.2,27.89,Moderate,1
Wheat,Clay,Zaid,East,261,129,274,7.64,308.9,25.6,78.5,37.86,High,1
Wheat,Red,Zaid,South,42,37,76,5.93,137.1,30.5,51.7,16.82,Low,0
Millets,Black,Rabi,West,236,149,233,7.3,431.1,18.6,85.4,41.26,High,1
Millets,Clay,Zaid,East,128,65,178,6.45,249,26.2,64.6,24.45,Moderate,1
Maize,Red,Kharif,North,157,90,176,7.22,157.8,29.7,45.6,31.49,Moderate,1
Rice,Red,Rabi,East,101,55,37,5,110,31.9,44.8,18.31,Low,0
Maize,Sandy,Zaid,East,281,100,218,7.76,370.5,21.7,62.5,32.74,High,1
Sugarcane,Red,Zaid,North,156,100,151,7.31,155.7,27.2,41.9,22.49,Moderate,1
Maize,Clay,Kharif,South,177,82,81,7.44,264.5,31.8,74.1,25.26,Moderate,1
Rice,Sandy,Rabi,West,166,55,151,7.19,162,22.9,53.5,27.45,Moderate,1
Rice,Red,Zaid,East,100,34,23,5.98,114.7,31.5,30.4,23.7,Low,0
Cotton,Loamy,Kharif,Central,51,69,18,5.52,95.6,31.8,42.8,24.93,Low,0
Millets,Red,Kharif,North,165,82,144,7.01,217,29.2,51.9,22.92,Moderate,1
Wheat,Red,Rabi,South,90,62,30,6,196.9,35.3,51.7,24.92,Low,0
Wheat,Red,Kharif,North,105,18,54,5.67,102.1,35.2,34.8,18.46,Low,0
Wheat,Loamy,Zaid,East,176,131,193,7.96,263.4,26.8,81.8,32.95,High,1
Rice,Sandy,Zaid,East,174,156,242,7.39,387.4,24.2,74.5,33.6,High,1
Wheat,Black,Kharif,North,101,108,155,7.04,269.7,27.1,50.6,28.82,Moderate,1
Millets,Black,Rabi,North,149,69,161,7.08,294.3,24.1,72.2,25.3,Moderate,1
Cotton,Sandy,Kharif,Central,173,53,77,6.55,284.4,22,45.9,28.18,Moderate,1
Sugarcane,Red,Zaid,West,197,94,90,6.07,277.9,24.3,61.4,30.06,Moderate,1
Maize,Clay,Zaid,East,81,57,49,5.26,163.1,36.9,54.7,25.05,Low,0
Maize,Loamy,Kharif,South,64,35,73,5.58,88,32.1,51.2,15.55,Low,0
Maize,Black,Zaid,South,196,103,201,6.79,256.8,27.6,85.3,32.89,High,1
Sugarcane,Sandy,Kharif,Central,206,136,247,7.13,252.7,21.8,62.5,43.62,High,1
Wheat,Red,Rabi,South,161,83,84,6.77,183.6,27,52.3,32.92,Moderate,1
Rice,Black,Zaid,East,126,62,96,6.76,162.5,27.9,49.6,27.33,Moderate,1
Rice,Black,Kharif,South,183,143,196,7.77,297.5,26.2,64.8,37.07,High,1
Maize,Loamy,Zaid,East,167,162,262,7.41,327.7,18.1,63.7,41.09,High,1
Maize,Black,Rabi,West,161,73,140,6.49,178.4,22.6,71.7,27.49,Moderate,1
Rice,Loamy,Kharif,Central,52,51,51,5.6,148.4,33.8,39.3,18.9,Low,0
Millets,Red,Rabi,North,138,118,72,7.44,274.6,24.2,68.1,34.62,Moderate,1
Maize,Sandy,Zaid,Central,177,113,266,6.55,440.2,24,74.5,35.81,High,1
Wheat,Loamy,Rabi,South,198,133,165,6.68,425.3,24.5,83,42.94,High,1
Rice,Sandy,Rabi,West,162,62,107,6.87,245.9,25.7,44.4,31.4,Moderate,1
Sugarcane,Black,Zaid,East,48,53,45,5.9,174.6,34.6,48.1,15.28,Low,0
Maize,Loamy,Kharif,Central,277,125,186,7.17,361.4,27.3,69.5,31.83,High,1
Rice,Clay,Zaid,East,165,141,266,7.96,262.9,21,76.3,34.26,High,1
Wheat,Clay,Kharif,Central,189,101,118,7.13,160.6,25.7,57.7,32.35,Moderate,1
Wheat,Clay,Zaid,West,87,53,71,5.66,86.5,35.7,43.3,19.22,Low,0
Sugarcane,Sandy,Zaid,Central,289,153,208,7.65,301.9,20.4,83.7,30.84,High,1
Cotton,Clay,Kharif,East,271,141,280,7.5,311.2,18.1,78.6,40.53,High,1
Cotton,Sandy,Zaid,North,90,95,140,6.35,217.1,28.2,43.6,22.35,Moderate,1
Sugarcane,Black,Rabi,North,141,87,106,6.54,201.3,29.7,47.2,23.7,Moderate,1
Sugarcane,Sandy,Rabi,East,188,131,230,7.89,309.1,21.4,82.3,43.31,High,1
Rice,Loamy,Kharif,North,183,129,249,8.14,402.4,22,70.8,38.88,High,1
Sugarcane,Clay,Zaid,North,281,158,239,7.93,436.3,24.5,70.9,42.93,High,1
Rice,Black,Kharif,East,99,25,59,5.8,142.3,31.2,36.5,17.68,Low,0
Millets,Clay,Rabi,East,95,59,105,6.65,220.6,29.9,50.4,28.12,Moderate,1
Cotton,Loamy,Rabi,West,160,79,130,5.86,300.2,27.4,69.6,29.18,Moderate,1
Wheat,Black,Zaid,Central,101,93,179,6.72,171.8,30.4,50.1,33.41,Moderate,1
Sugarcane,Black,Rabi,West,96,57,81,5.33,177.6,31.8,35.1,19.22,Low,0
Rice,Clay,Kharif,South,191,84,88,7.35,201.9,24,48.4,33.61,Moderate,1
Maize,Clay,Kharif,West,58,28,68,5.58,132.5,37.8,43.2,18.44,Low,0
Rice,Sandy,Rabi,Central,113,84,142,5.95,198.1,23.1,64.9,26.78,Moderate,1
Maize,Red,Rabi,Central,106,68,81,5.66,141.3,30.2,50.1,24.03,Low,0
Millets,Clay,Rabi,North,102,101,99,6.48,288,29.4,46.5,23.02,Moderate,1
Wheat,Loamy,Rabi,Central,94,63,37,5.31,124.3,33.9,34.3,15.61,Low,0
Millets,Black,Zaid,West,116,51,25,6.26,78.6,32.1,51,24.23,Low,0
Maize,Loamy,Zaid,East,92,78,73,6.47,318,28.1,46.3,28.22,Moderate,1
Millets,Loamy,Kharif,East,252,154,226,8.11,277.7,21.2,74,40.47,High,1
Rice,Red,Rabi,East,196,94,110,5.92,298.9,22.3,68.8,28.67,Moderate,1
Millets,Black,Kharif,Central,92,41,68,5.46,151.8,35.6,46.9,18.54,Low,0
Rice,Red,Rabi,West,108,25,34,5.72,93.2,35.5,36.5,23.49,Low,0
Cotton,Clay,Zaid,East,90,39,51,5.74,188.1,30.9,34.9,16.63,Low,0
Rice,Sandy,Kharif,North,42,21,45,5.7,179.7,34.6,40.1,17.92,Low,0
Cotton,Black,Rabi,North,194,125,177,7.85,389.2,24.6,61.6,32.64,High,1
Cotton,Loamy,Rabi,West,42,51,84,5.47,124.7,34.7,52.3,24.34,Low,0
Cotton,Red,Zaid,South,46,50,79,5.51,88.2,33.7,49.1,17.25,Low,0
Millets,Red,Kharif,East,171,108,84,6.23,312.6,27.3,52.9,32.99,Moderate,1
Wheat,Red,Rabi,North,61,54,56,6.26,183.2,35,44.4,18.37,Low,0
Maize,Sandy,Kharif,South,193,154,294,7.33,344,25,62.4,44.97,High,1
Millets,Loamy,Kharif,Central,101,109,86,6.51,254.6,25.9,63.6,34.65,Moderate,1
Sugarcane,Sandy,Zaid,East,200,148,215,6.55,419.7,25.3,69.7,44.18,High,1
Cotton,Clay,Zaid,West,163,94,175,6.8,256.5,25.9,60.2,29.98,Moderate,1
Wheat,Clay,Rabi,East,187,146,214,6.65,392.1,19.3,84.7,34.32,High,1
Millets,Loamy,Zaid,East,271,163,168,8.05,289.6,21.8,85.8,31.47,High,1
Millets,Red,Kharif,West,129,99,122,6.98,189.7,27.2,69.3,29.21,Moderate,1
Wheat,Loamy,Rabi,Central,73,52,52,5.17,110.9,34.2,51.6,15.28,Low,0
Sugarcane,Black,Zaid,West,119,60,43,5.61,104,34.3,39.1,24.43,Low,0
Rice,Black,Zaid,East,98,67,66,5.03,186,37.5,49.1,22.4,Low,0
Sugarcane,Clay,Rabi,East,97,21,45,5.68,118.8,33.9,40.1,22.38,Low,0
Sugarcane,Red,Kharif,North,184,68,71,6.4,195,25,54.7,26.52,Moderate,1
Rice,Black,Zaid,Central,196,143,185,7.09,277.4,22.8,67.4,41.18,High,1
Wheat,Clay,Zaid,South,100,69,25,5.32,97.6,37.2,46.9,19.28,Low,0
Sugarcane,Red,Kharif,West,208,111,218,7.83,402.1,19.9,73.1,35.26,High,1
Sugarcane,Sandy,Kharif,East,203,109,191,7.36,291.6,21.1,78.1,42.49,High,1
Maize,Black,Zaid,West,81,56,18,5.68,176.9,31.4,51,19.39,Low,0
Wheat,Black,Rabi,West,244,117,244,7.97,425,20,65.3,34.02,High,1
Rice,Red,Kharif,North,91,61,86,5.09,164.2,37.9,32.4,15.79,Low,0
Sugarcane,Clay,Kharif,West,282,161,183,6.86,379.8,19.8,75.3,40.79,High,1
Cotton,Sandy,Rabi,Central,239,100,229,7.81,361.8,20.8,70.7,37.54,High,1
Rice,Black,Rabi,West,232,112,270,7.85,395.7,24,77.8,39.93,High,1
Wheat,Red,Zaid,North,43,28,37,5.63,70.8,32.4,51.5,17.87,Low,0
Wheat,Clay,Rabi,North,47,53,59,5.3,196.7,30.6,52.9,18.15,Low,0
Maize,Black,Kharif,Central,142,91,163,6.23,293.2,27.1,68.3,28.66,Moderate,1
Rice,Loamy,Zaid,South,194,110,180,6.69,318,18.7,82.3,30.66,High,1
Wheat,Red,Rabi,East,233,119,231,7.45,330.4,19.9,64,39.61,High,1
Maize,Sandy,Kharif,East,190,107,173,7.61,302.9,21.2,60.3,43.2,High,1
Rice,Sandy,Kharif,East,87,50,27,5.83,140.3,34.7,36,26.58,Low,0
Wheat,Red,Rabi,Central,99,46,55,5.46,131.1,31.9,53.7,19.66,Low,0
Millets,Black,Rabi,South,107,63,127,5.86,293.3,28.1,50.8,33.46,Moderate,1
Cotton,Red,Rabi,West,131,69,85,7.27,186.7,27.8,64.3,23.02,Moderate,1
Cotton,Red,Rabi,South,105,86,84,5.88,253,29.3,74.3,25.88,Moderate,1
Wheat,Clay,Zaid,East,213,130,186,7.84,348.9,27.2,72,38.01,High,1
Maize,Clay,Kharif,West,148,115,125,6.06,237.1,24.2,72.9,26.22,Moderate,1
Sugarcane,Black,Kharif,North,239,154,294,6.56,310.4,25.2,70.5,37.7,High,1
Rice,Sandy,Rabi,Central,216,166,224,8.06,312.3,20.9,80.4,39.02,High,1
Rice,Clay,Kharif,West,133,103,156,6.04,210.4,27.1,63,24.3,Moderate,1
Sugarcane,Black,Rabi,North,76,66,66,5.26,125.4,33.1,33.6,19.8,Low,0
Wheat,Clay,Zaid,Central,117,110,82,5.82,176.9,29,44.1,24.37,Moderate,1
Wheat,Loamy,Zaid,West,110,23,79,5.62,87.3,33.2,39.6,26.85,Low,0
Sugarcane,Sandy,Rabi,Central,268,122,203,8.1,284.6,21.6,80.3,31.41,High,1
Millets,Clay,Rabi,South,217,106,160,7.17,255.8,25.1,69.8,31.99,High,1
Cotton,Black,Kharif,North,104,49,79,5.02,89.1,37.3,36.7,20.31,Low,0
Millets,Loamy,Rabi,Central,160,100,145,6.48,161.9,28.7,53.7,28.24,Moderate,1
Millets,Black,Rabi,Central,281,166,187,7.52,440.8,22.4,77,32.26,High,1
Rice,Clay,Kharif,Central,77,43,26,5.37,119.5,32.9,46.9,24.45,Low,0
Maize,Red,Rabi,Central,286,161,246,7.12,418.5,21.3,67.3,39.01,High,1
Wheat,Black,Kharif,South,178,130,189,7.36,325,23.6,86.1,33.24,High,1
Wheat,Sandy,Zaid,West,299,102,234,8.05,345.6,25.2,61.1,33.14,High,1
Rice,Red,Rabi,East,116,51,28,6.09,193.9,34.8,28.6,21.05,Low,0
Millets,Sandy,Rabi,West,131,92,108,5.96,185.7,32,57.4,25.22,Moderate,1
Wheat,Black,Rabi,Central,250,112,271,7.54,348.3,22.4,71.4,41.54,High,1
Millets,Black,Zaid,South,265,145,243,7.38,250.8,22.7,87.3,31.71,High,1
Millets,Sandy,Rabi,East,86,36,82,6.28,198,36.1,51,19.79,Low,0
Sugarcane,Sandy,Rabi,North,259,129,266,6.54,340.6,25.9,80.1,30.16,High,1
Maize,Loamy,Rabi,North,196,138,284,7.42,369.8,23.2,70.2,33.54,High,1
Cotton,Clay,Rabi,South,61,48,18,5.05,80,31.4,43,25.02,Low,0
Millets,Loamy,Rabi,West,92,69,45,5.57,127.9,32.6,32,16.81,Low,0
Maize,Red,Zaid,West,238,127,251,7.5,432,26.9,88,40.9,High,1
Maize,Clay,Kharif,Central,147,58,75,5.91,263.2,31.5,44.8,24.54,Moderate,1
Maize,Sandy,Rabi,West,177,80,114,6.05,220.1,22.7,52.9,33.03,Moderate,1
Maize,Sandy,Zaid,North,101,19,50,6.21,151.3,35,35.2,25.02,Low,0
Cotton,Red,Rabi,South,50,48,23,5.53,72.6,33.9,25.5,23.2,Low,0
Wheat,Red,Zaid,West,176,161,280,8.09,361.3,18.5,70.8,44.74,High,1
Rice,Loamy,Zaid,East,186,91,156,6.23,288.3,29.2,58.5,23.07,Moderate,1
Rice,Clay,Zaid,Central,164,82,164,7.31,281.8,28.8,47.3,28.16,Moderate,1
Millets,Loamy,Rabi,South,282,145,166,7.54,420.8,26.4,60.9,37.81,High,1
Rice,Loamy,Zaid,East,230,161,229,7.26,282,20.3,88.4,39.26,High,1
Millets,Clay,Zaid,North,40,60,29,5.42,86.6,33.5,33,26.43,Low,0
Millets,Clay,Zaid,North,57,63,73,6.17,96.3,31.4,37.6,17.2,Low,0
Maize,Black,Rabi,East,238,106,204,7.65,260.1,22.8,89.8,36.58,High,1
Rice,Sandy,Zaid,North,158,111,138,6.17,234.1,26.8,49.8,29.31,Moderate,1
Wheat,Clay,Kharif,West,231,145,198,6.97,422.3,24.1,68,31.68,High,1
Rice,Red,Rabi,South,248,141,288,7.44,272.5,22.3,85.2,34.98,High,1
Millets,Black,Kharif,South,243,132,186,7.11,352.7,24.5,70.8,41.77,High,1
Maize,Sandy,Zaid,North,45,26,68,5.22,145.7,35.5,46.1,23.75,Low,0
Maize,Red,Rabi,West,188,105,249,6.91,386.1,20.8,65.8,43.23,High,1
Maize,Red,Rabi,South,194,105,102,6.54,213.8,27.3,51.5,25.42,Moderate,1
Maize,Clay,Rabi,North,183,53,75,7.12,178,23.7,73.7,28.9,Moderate,1
Cotton,Loamy,Zaid,North,159,59,128,6.52,226.9,28.2,46.4,32.52,Moderate,1
Millets,Loamy,Zaid,East,166,107,90,5.81,239.2,27.4,65.5,23.99,Moderate,1
Millets,Sandy,Kharif,North,85,35,48,5.09,148.2,33.5,40.9,20.14,Low,0
Rice,Red,Kharif,West,97,65,70,6.3,190,33.1,33.8,26.16,Low,0
Cotton,Red,Rabi,South,176,90,152,6.63,155.7,27.8,48.6,22.35,Moderate,1
Millets,Sandy,Zaid,West,102,111,135,6.13,171.4,24.3,71.4,31.12,Moderate,1
Wheat,Sandy,Kharif,West,195,127,164,6.88,448.9,21.4,79.9,37.45,High,1
Cotton,Clay,Zaid,South,188,165,221,8.15,391,27.4,62.3,31.07,High,1
Maize,Clay,Rabi,West,195,141,230,8.16,252.2,18.6,79.4,40.94,High,1
Rice,Clay,Zaid,West,73,60,31,5.37,132,30.7,32.8,17.46,Low,0
Cotton,Red,Rabi,Central,67,56,46,5.31,71.5,36.5,34.1,15.79,Low,0
Maize,Sandy,Zaid,South,40,58,83,5.5,172.6,31.2,32.5,19.64,Low,0
Wheat,Sandy,Zaid,East,116,60,139,6.81,219,29.2,53.5,33.71,Moderate,1
Millets,Clay,Kharif,Central,101,68,37,6.17,135.3,31.5,50,26.31,Low,0
Sugarcane,Loamy,Kharif,Central,288,143,214,7.55,366.7,20.2,72,37.59,High,1
Cotton,Clay,Kharif,South,252,154,184,7.08,379.3,25.9,88.1,31.92,High,1
Rice,Sandy,Kharif,North,83,66,26,5.21,178,36.8,53.3,23.35,Low,0
Rice,Sandy,Rabi,South,75,56,30,5.18,84.8,32.7,29.3,25.69,Low,0
Rice,Loamy,Rabi,North,197,137,224,7.73,425.7,27.3,67.6,31.37,High,1
Sugarcane,Loamy,Rabi,North,102,98,93,5.96,310.9,30.8,65,30.83,Moderate,1
Millets,Sandy,Rabi,North,152,63,89,7.01,224.3,29.3,52,30.74,Moderate,1
Wheat,Black,Zaid,South,269,161,277,8.12,381,22.2,80.6,30.09,High,1
Sugarcane,Red,Rabi,West,98,52,146,6.46,233,29.7,60.9,29.24,Moderate,1
Rice,Red,Kharif,Central,48,68,74,5.54,99.3,36.7,30,22.57,Low,0
Cotton,Sandy,Kharif,North,122,85,143,7.29,162.7,30.6,64.4,25.81,Moderate,1
Sugarcane,Red,Zaid,West,246,138,235,7.72,321.2,23.3,73.8,35.06,High,1
Maize,Black,Kharif,Central,105,69,77,5.56,114.5,33.6,29.5,19.09,Low,0
Maize,Clay,Kharif,West,171,88,150,7.02,182,31.1,71.9,33.97,Moderate,1
Sugarcane,Loamy,Zaid,West,203,136,154,6.57,431.3,18.3,62.9,34.11,High,1
Rice,Loamy,Rabi,North,80,23,31,6.02,82.7,34.8,30.2,22.21,Low,0
Cotton,Sandy,Rabi,Central,175,74,120,6.94,303.8,27.5,55.1,29.51,Moderate,1
Millets,Sandy,Kharif,Central,104,105,119,7.39,251.2,25.1,53.6,27.79,Moderate,1
Maize,Sandy,Kharif,Central,195,103,175,8.17,315.5,20.5,72.2,32.46,High,1
Millets,Sandy,Rabi,West,218,157,291,8,258.4,27.8,62.2,37.36,High,1
Maize,Clay,Kharif,East,107,63,74,6.12,169.7,25.3,71.5,33.1,Moderate,1
Millets,Clay,Zaid,North,247,121,182,8.11,368.1,24.7,66.1,33.91,High,1
Sugarcane,Sandy,Rabi,North,164,104,221,7.72,370.3,19.6,65.5,43.28,High,1
Sugarcane,Clay,Rabi,Central,84,48,59,5.93,146.4,34.7,45.4,19.98,Low,0
Rice,Black,Kharif,South,104,64,123,6.81,283.2,23.6,42.6,23.17,Moderate,1
Cotton,Black,Rabi,East,116,81,120,7.14,229.1,25.3,41.1,32.75,Moderate,1
Sugarcane,Black,Rabi,North,221,151,239,7.69,274.3,27.3,82.4,40.15,High,1
Cotton,Loamy,Rabi,Central,95,88,156,5.89,250.9,23.2,53.4,32.67,Moderate,1
Sugarcane,Black,Rabi,Central,109,51,59,5.24,191.3,36.4,49.2,21.6,Low,0
Millets,Clay,Rabi,East,257,103,235,6.79,320.5,22.4,84.8,39.83,High,1
Wheat,Sandy,Zaid,West,252,124,276,7.7,325.9,23.4,84,32.55,High,1
Sugarcane,Black,Kharif,North,287,138,175,7.54,285.9,22.7,66.9,44.85,High,1
Sugarcane,Clay,Kharif,South,153,95,90,7.36,167.2,24.1,40.2,22.2,Moderate,1
Rice,Clay,Rabi,West,204,136,189,7.63,288.2,23.8,89.7,38.77,High,1
Wheat,Clay,Kharif,East,112,110,168,6.78,307,26.2,65.4,32.47,Moderate,1
Rice,Loamy,Rabi,West,184,124,259,7.57,436.7,20,68.9,36.26,High,1
Rice,Clay,Kharif,North,82,37,73,5.02,107.1,31.2,53.1,19.93,Low,0
Maize,Black,Kharif,South,114,69,152,7.01,185.8,29.8,57,27.44,Moderate,1
Wheat,Sandy,Kharif,West,129,64,165,6.15,176.3,23.1,47.8,31.14,Moderate,1
Cotton,Red,Zaid,Central,200,112,165,7.4,366.2,27,74.8,40.9,High,1
Cotton,Loamy,Zaid,West,120,79,126,5.84,312.3,25.4,59,22.21,Moderate,1
Maize,Clay,Kharif,North,101,58,67,6.26,137.3,34.9,48.9,23.04,Low,0
Maize,Red,Kharif,North,173,57,132,6.41,271.2,26.7,59.8,27.34,Moderate,1
Millets,Sandy,Kharif,South,271,166,248,7.34,311.1,21.8,70.5,39.07,High,1
Millets,Loamy,Kharif,North,41,34,18,5.56,87.3,36.6,48.9,26.57,Low,0
Sugarcane,Sandy,Rabi,North,75,46,15,5.76,147.6,34.7,28.8,25.26,Low,0
Cotton,Red,Rabi,West,89,67,67,5.38,163.5,37,27.6,17.38,Low,0
Maize,Sandy,Rabi,West,142,99,146,6.23,261.7,25.9,42.5,33.38,Moderate,1
Cotton,Black,Rabi,West,162,54,73,7.42,312.8,29.8,53.4,23.65,Moderate,1
Millets,Red,Rabi,Central,190,100,156,7.18,158.5,25.3,70.9,23.49,Moderate,1
Wheat,Sandy,Kharif,Central,175,118,75,7.22,290.1,27.5,65.2,24.71,Moderate,1
Rice,Loamy,Rabi,North,52,29,43,6.27,197.2,36.4,51.7,16.27,Low,0
Millets,Sandy,Zaid,North,116,53,41,5.94,77.5,37.7,31.1,26.38,Low,0
Maize,Red,Zaid,East,96,26,27,5.44,97.3,32.9,29.3,16.19,Low,0
Millets,Red,Rabi,East,228,145,151,7.18,387.2,24.1,87.5,43.66,High,1
Rice,Loamy,Zaid,West,114,29,52,6.26,195.8,30.1,54.1,16.01,Low,0
Millets,Sandy,Rabi,North,98,61,17,5.11,77,36.6,40.6,26.96,Low,0
Maize,Black,Zaid,North,222,132,233,7.68,392.6,22.9,79.7,30.01,High,1
Rice,Loamy,Zaid,East,57,52,40,5.66,161.9,32.7,35,18.19,Low,0
Cotton,Red,Zaid,North,60,26,51,5.51,157.7,31.9,52.9,15.49,Low,0
Maize,Loamy,Kharif,East,269,160,228,7.67,377.4,24.3,75.4,33.22,High,1
Maize,Sandy,Rabi,Central,155,62,149,7.37,185.4,31,67,24.1,Moderate,1
Sugarcane,Sandy,Rabi,North,183,112,149,6.11,221,22.4,66.2,23.88,Moderate,1
Sugarcane,Red,Zaid,Central,53,34,79,5.86,107.4,32.3,28.9,18.81,Low,0
Sugarcane,Red,Zaid,Central,257,116,270,7.83,430.4,18.6,71.3,38.08,High,1
Cotton,Sandy,Zaid,North,83,62,56,6.16,81.5,31.6,36.7,20.19,Low,0
Wheat,Clay,Zaid,South,294,122,264,6.66,276.9,19.5,82.5,41.11,High,1
Cotton,Clay,Rabi,East,140,95,159,7.05,275.7,27.9,55.5,22.04,Moderate,1
Cotton,Red,Zaid,East,145,99,162,6.64,165.8,31.5,43.3,33.13,Moderate,1
Millets,Sandy,Kharif,East,295,164,265,6.61,310.3,21.2,89.4,40.63,High,1
Rice,Loamy,Rabi,West,166,100,167,5.9,164.8,29.7,61,32.83,Moderate,1
Sugarcane,Black,Kharif,North,254,125,204,7.13,353.6,25.8,63.6,39.18,High,1
Maize,Loamy,Zaid,West,141,68,169,6.69,161.7,28.1,58.2,32.39,Moderate,1
Cotton,Red,Rabi,South,118,94,117,6.09,165.5,31,57,24.03,Moderate,1
Cotton,Loamy,Kharif,East,111,72,75,7.11,268.3,27,43.6,25.96,Moderate,1
Sugarcane,Clay,Zaid,Central,59,52,42,5.87,150.1,33,43.3,22.26,Low,0
Rice,Clay,Zaid,Central,119,50,88,5.05,184.5,35,37.7,19.5,Low,0
Sugarcane,Black,Zaid,North,270,109,155,7.49,297.5,20.2,68,36.96,High,1
Maize,Red,Kharif,South,53,52,85,6.26,173.6,37.7,34.2,18.1,Low,0
Millets,Loamy,Zaid,Central,72,43,53,5.61,104.1,30.9,31.1,17.6,Low,0
Sugarcane,Clay,Rabi,West,285,146,180,6.97,430.8,23.6,79.8,43.07,High,1
Millets,Sandy,Rabi,South,218,150,273,7.35,338.1,23,87.1,41.85,High,1
Cotton,Sandy,Zaid,West,45,37,69,5.06,92.5,32.5,26.7,21.01,Low,0
Maize,Black,Kharif,North,97,20,26,6.27,133.9,36.5,31.8,25.53,Low,0
Millets,Loamy,Rabi,South,63,36,46,5.5,150.3,31.1,51.7,26.51,Low,0
